Timestamp,Steps,PAM Score,tabel
2025-06-04 22:28:00,0,0.0,0
2025-06-04 22:29:00,0,0.0,0
2025-06-04 22:30:00,0,0.0,0
2025-06-05 09:38:00,0,0.0625,0
2025-06-05 09:39:00,3,0.6875,0
2025-06-05 09:40:00,43,2.375,1
2025-06-05 09:41:00,33,2.5,1
2025-06-05 09:42:00,49,2.5,1
2025-06-05 09:43:00,106,8.3125,2
2025-06-05 09:44:00,105,9.875,2
2025-06-05 09:45:00,110,9.9375,2
2025-06-05 09:46:00,116,10.875,2
2025-06-05 09:47:00,106,9.5625,2
2025-06-05 09:48:00,44,3.5625,1
2025-06-05 09:49:00,0,0.0,0
2025-06-05 09:50:00,0,0.0,0
2025-06-05 09:51:00,0,0.0,0
2025-06-05 09:52:00,6,0.6875,0
2025-06-05 09:53:00,0,0.25,0
2025-06-05 09:54:00,0,0.1875,0
2025-06-05 09:55:00,0,0.4375,0
2025-06-05 09:56:00,0,0.25,0
2025-06-05 09:57:00,0,0.125,0
2025-06-05 09:58:00,0,0.25,0
2025-06-05 09:59:00,0,0.1875,0
2025-06-05 10:00:00,0,0.125,0
2025-06-05 10:01:00,0,0.0,0
2025-06-05 10:02:00,0,0.1875,0
2025-06-05 10:03:00,0,0.25,0
2025-06-05 10:04:00,0,0.25,0
2025-06-05 10:05:00,0,0.125,0
2025-06-05 10:06:00,1,0.4375,0
2025-06-05 10:07:00,0,0.125,0
2025-06-05 10:08:00,0,0.1875,0
2025-06-05 10:09:00,0,0.25,0
2025-06-05 10:10:00,0,0.0625,0
2025-06-05 10:11:00,0,0.125,0
2025-06-05 10:12:00,0,0.25,0
2025-06-05 10:13:00,0,0.1875,0
2025-06-05 10:14:00,0,0.125,0
2025-06-05 10:15:00,0,0.25,0
2025-06-05 10:16:00,1,0.25,0
2025-06-05 10:17:00,20,1.0625,0
2025-06-05 10:18:00,94,4.5,2
2025-06-05 10:19:00,47,2.5,1
2025-06-05 10:20:00,0,0.0625,0
2025-06-05 10:21:00,0,0.0625,0
2025-06-05 10:22:00,0,0.0,0
2025-06-05 10:23:00,3,0.625,0
2025-06-05 10:24:00,0,0.1875,0
2025-06-05 10:25:00,38,1.75,1
2025-06-05 10:26:00,93,4.6875,2
2025-06-05 10:27:00,109,5.5625,2
2025-06-05 10:28:00,38,2.5,1
2025-06-05 10:29:00,0,0.125,0
2025-06-05 10:30:00,0,0.125,0
2025-06-05 10:31:00,0,0.125,0
2025-06-05 10:32:00,0,0.3125,0
2025-06-05 10:33:00,0,0.5625,0
2025-06-05 10:34:00,29,1.375,1
2025-06-05 10:35:00,58,3.375,2
2025-06-05 10:36:00,98,5.5,2
2025-06-05 10:37:00,112,8.9375,2
2025-06-05 10:38:00,68,4.4375,2
2025-06-05 10:39:00,51,2.75,1
2025-06-05 10:40:00,56,3.0625,1
