Timestamp,Steps,PAM Score,predicted_label
2025-06-05 09:34:00,25,2.5,0
2025-06-05 09:35:00,20,2.5625,0
2025-06-05 09:36:00,22,1.125,0
2025-06-05 09:37:00,59,2.0625,0
2025-06-05 09:38:00,54,1.875,0
2025-06-05 09:39:00,53,1.875,0
2025-06-05 09:40:00,44,1.375,0
2025-06-05 09:41:00,44,1.625,0
2025-06-05 09:42:00,48,2.0625,0
2025-06-05 09:43:00,58,2.0625,0
2025-06-05 09:44:00,35,1.625,0
2025-06-05 09:45:00,69,2.5,2
2025-06-05 09:46:00,70,2.5,2
2025-06-05 09:47:00,55,2.1875,0
2025-06-05 09:48:00,61,2.375,0
2025-06-05 09:49:00,71,2.375,2
2025-06-05 09:50:00,59,2.3125,0
2025-06-05 09:51:00,65,2.5,0
2025-06-05 09:52:00,60,2.5625,0
2025-06-05 09:53:00,71,2.5625,2
2025-06-05 09:54:00,44,1.875,0
2025-06-05 09:55:00,54,1.8125,0
2025-06-05 09:56:00,57,1.6875,0
2025-06-05 09:57:00,59,1.875,0
2025-06-05 09:58:00,29,1.4375,0
2025-06-05 09:59:00,27,1.5,0
2025-06-05 10:00:00,63,2.1875,0
2025-06-05 10:01:00,42,2.0,0
2025-06-05 10:02:00,55,2.0,0
2025-06-05 10:03:00,38,1.5625,0
2025-06-05 10:04:00,44,1.625,0
2025-06-05 10:05:00,63,2.375,0
2025-06-05 10:06:00,39,1.6875,0
2025-06-05 10:07:00,20,1.1875,0
2025-06-05 10:08:00,41,1.5625,0
2025-06-05 10:09:00,21,0.9375,0
2025-06-05 10:10:00,19,1.5,0
2025-06-05 10:11:00,32,1.25,0
2025-06-05 10:12:00,54,1.875,0
2025-06-05 10:13:00,44,1.75,0
2025-06-05 10:14:00,31,1.6875,0
2025-06-05 10:15:00,6,1.3125,1
2025-06-05 10:16:00,2,0.75,1
2025-06-05 10:17:00,3,1.0,1
2025-06-05 10:18:00,64,2.5625,0
2025-06-05 10:19:00,51,3.625,2
2025-06-05 10:20:00,67,3.1875,2
2025-06-05 10:21:00,29,2.0,0
2025-06-05 10:22:00,33,1.6875,0
2025-06-05 10:23:00,2,0.125,1
2025-06-05 10:24:00,0,0.0,1
2025-06-05 10:25:00,14,0.9375,1
2025-06-05 10:26:00,69,3.4375,2
2025-06-05 10:27:00,69,3.3125,2
2025-06-05 10:28:00,66,3.0,2
2025-06-05 10:29:00,48,2.25,0
2025-06-05 10:30:00,39,2.25,0
2025-06-05 10:31:00,24,2.4375,0
2025-06-05 10:32:00,7,0.75,1
2025-06-05 10:33:00,4,0.9375,1
2025-06-05 10:34:00,4,0.8125,1
2025-06-05 10:35:00,0,0.0,1
2025-06-05 10:36:00,1,0.4375,1
2025-06-05 10:37:00,14,2.25,0
2025-06-05 10:38:00,10,1.6875,0
2025-06-05 10:39:00,18,2.0625,0
2025-06-05 10:40:00,0,0.3125,1
2025-06-05 10:41:00,0,0.0,1
2025-06-05 10:42:00,2,0.25,1
2025-06-05 10:43:00,5,0.4375,1
2025-06-05 10:44:00,13,1.25,0
2025-06-05 10:45:00,0,0.0,1
2025-06-05 10:46:00,0,0.0,1
2025-06-05 10:47:00,0,0.0625,1
2025-06-05 10:48:00,0,0.0,1
2025-06-05 10:49:00,0,0.0,1
2025-06-05 10:50:00,2,0.3125,1
2025-06-05 10:51:00,0,0.0,1
2025-06-05 10:52:00,0,0.0625,1
2025-06-05 10:53:00,0,0.0,1
2025-06-05 10:54:00,0,0.0,1
2025-06-05 10:55:00,0,0.25,1
2025-06-05 10:56:00,2,0.3125,1
2025-06-05 10:57:00,0,0.0,1
2025-06-05 10:58:00,2,0.625,1
2025-06-05 10:59:00,0,1.0,1
2025-06-05 11:00:00,0,1.4375,1
2025-06-05 11:01:00,0,1.4375,1
2025-06-05 11:02:00,0,1.5625,1
2025-06-05 11:09:00,0,1.125,1
2025-06-05 11:10:00,23,1.6875,0
2025-06-05 11:11:00,5,0.6875,1
2025-06-05 11:12:00,0,0.0,1
2025-06-05 11:13:00,0,0.0,1
2025-06-05 11:14:00,0,0.0,1
2025-06-05 11:15:00,0,0.0,1
2025-06-05 11:36:00,0,0.0,1
2025-06-05 11:37:00,0,0.0,1
2025-06-05 11:38:00,0,0.0,1
2025-06-05 11:39:00,0,0.0,1
2025-06-05 11:40:00,0,0.0,1
2025-06-05 11:41:00,0,0.0,1
2025-06-05 11:58:00,0,0.0,1
2025-06-05 11:59:00,10,0.9375,1
2025-06-05 12:00:00,10,1.75,0
2025-06-05 12:01:00,0,0.0,1
2025-06-05 12:02:00,6,0.75,1
2025-06-05 12:03:00,13,1.875,0
2025-06-05 12:04:00,0,0.1875,1
2025-06-05 12:05:00,0,0.125,1
2025-06-05 12:06:00,0,0.125,1
2025-06-05 12:07:00,0,0.0,1
2025-06-05 12:09:00,0,0.125,1
2025-06-05 12:10:00,4,0.375,1
2025-06-05 12:11:00,0,0.125,1
2025-06-05 12:12:00,0,0.0,1
2025-06-05 12:13:00,0,0.0,1
2025-06-05 12:14:00,0,0.0,1
2025-06-05 12:19:00,0,0.0,1
2025-06-05 12:20:00,0,0.0,1
2025-06-05 12:21:00,0,0.0,1
2025-06-05 12:22:00,0,0.0625,1
2025-06-05 12:23:00,0,0.0,1
2025-06-05 12:24:00,9,1.0,1
2025-06-05 12:25:00,29,3.5625,0
2025-06-05 12:26:00,28,1.8125,0
2025-06-05 12:27:00,56,2.6875,0
2025-06-05 12:28:00,93,4.125,2
2025-06-05 12:29:00,98,4.25,2
2025-06-05 12:30:00,94,3.9375,2
2025-06-05 12:31:00,31,1.75,0
2025-06-05 12:32:00,55,3.9375,2
2025-06-05 12:33:00,31,2.875,0
2025-06-05 12:34:00,2,0.8125,1
2025-06-05 12:35:00,13,1.375,0
2025-06-05 12:36:00,12,1.3125,0
2025-06-05 12:37:00,21,1.9375,0
2025-06-05 12:38:00,19,1.75,0
2025-06-05 12:39:00,64,2.75,0
2025-06-05 12:40:00,96,4.5,2
2025-06-05 12:41:00,93,4.5,2
2025-06-05 12:42:00,82,3.5625,2
2025-06-05 12:43:00,79,4.0,2
2025-06-05 12:44:00,54,3.0,0
2025-06-05 12:45:00,34,2.0625,0
2025-06-05 12:46:00,51,2.125,0
2025-06-05 12:47:00,7,0.8125,1
2025-06-05 12:48:00,0,0.0,1
2025-06-05 12:49:00,0,0.0,1
2025-06-05 12:50:00,0,0.0625,1
2025-06-05 12:51:00,0,0.0,1
2025-06-05 12:52:00,0,0.0,1
2025-06-05 12:53:00,0,0.0,1
2025-06-05 12:54:00,0,0.0,1
2025-06-05 12:55:00,0,0.0,1
2025-06-05 12:56:00,0,0.0,1
2025-06-05 12:57:00,0,0.0,1
2025-06-05 12:58:00,0,0.0,1
2025-06-05 12:59:00,0,1.3125,1
2025-06-05 13:00:00,0,0.8125,1
2025-06-05 13:01:00,0,0.4375,1
2025-06-05 13:02:00,0,0.1875,1
2025-06-05 13:03:00,0,0.0,1
2025-06-05 13:04:00,1,0.0625,1
2025-06-05 13:05:00,0,0.0625,1
2025-06-05 13:06:00,0,0.0,1
2025-06-05 13:07:00,0,0.0,1
2025-06-05 13:08:00,0,0.0625,1
2025-06-05 13:09:00,0,0.0,1
2025-06-05 13:10:00,0,0.0,1
2025-06-05 13:11:00,0,0.0,1
2025-06-05 13:12:00,0,0.0,1
2025-06-05 13:13:00,0,0.0,1
2025-06-05 13:14:00,0,0.0,1
2025-06-05 13:15:00,0,0.0,1
